timestamp bid bidsize ask asksize
1516576118905679.0 1225620 1000000 1225620 1000000
1516576118905804.0 1225560 1000000 1225640 500000
1516576118905982.0 1225590 1000000 1225620 1000000
1516576118906918.0 1225570 1000000 1225620 1000000
1516576118914058.0 1225560 1000000 1225620 1000000
1516576118917877.0 1225530 500000 1225640 500000
1516576118920769.0 1225590 1000000 1225620 1000000
1516576118921339.0 1225590 1000000 1225640 1000000
1516576118925272.0 1225590 1000000 1225620 1000000
1516576118925315.0 1225530 1000000 1225640 500000
1516576118926367.0 1225560 1000000 1225620 1000000
1516576118926780.0 1225550 1000000 1225620 1000000
1516576118941772.0 1225550 1000000 1225640 1000000
1516576118941931.0 1225550 1000000 1225610 1000000
1516576118952074.0 1225520 1000000 1225640 500000
1516576118970653.0 1225540 1000000 1225610 1000000
1516576118975187.0 1225550 1000000 1225610 1000000
1516576118976658.0 1225540 1000000 1225610 1000000
1516576118995352.0 1225580 1000000 1225610 1000000
1516576119000208.0 1225540 500000 1225640 500000
1516576119000319.0 1225580 1000000 1225630 1000000
1516576119000426.0 1225540 500000 1225660 1000000
1516576119001823.0 1225580 1000000 1225640 1000000
1516576119005373.0 1225550 1000000 1225640 1000000
1516576119019636.0 1225540 1000000 1225640 1000000
1516576119019686.0 1225560 1000000 1225640 1000000
1516576119033657.0 1225560 1000000 1225650 1000000
1516576119036233.0 1225540 1000000 1225660 1000000
1516576119047630.0 1225520 500000 1225660 1000000
1516576119055245.0 1225550 1000000 1225650 1000000
1516576119055524.0 1225550 1000000 1225640 1000000
1516576119064143.0 1225530 1000000 1225660 1000000
1516576119065351.0 1225550 1000000 1225650 1000000
1516576119077284.0 1225550 1000000 1225610 1000000
1516576119077320.0 1225530 1000000 1225630 500000
1516576119077810.0 1225560 1000000 1225610 1000000
1516576119082124.0 1225550 1000000 1225610 1000000
1516576119082452.0 1225580 1000000 1225610 1000000
1516576119102202.0 1225580 1000000 1225630 1000000
1516576119102278.0 1225530 1000000 1225640 1000000
1516576119103250.0 1225540 1000000 1225630 1000000
1516576119159034.0 1225560 1000000 1225630 1000000
1516576119159608.0 1225530 1000000 1225630 1000000
1516576119479684.0 1225510 1000000 1225630 1000000
1516576120350347.0 1225590 1000000 1225630 1000000
1516576120350860.0 1225590 1000000 1225620 1000000
1516576120350918.0 1225510 1000000 1225620 1000000
1516576121016800.0 1225520 500000 1225620 1000000
1516576121896873.0 1225530 1000000 1225620 1000000
1516576122058893.0 1225540 500000 1225620 1000000
1516576125484621.0 1225530 1000000 1225620 1000000
1516576128393661.0 1225600 1000000 1225620 1000000
1516576128394290.0 1225600 1000000 1225630 1000000
1516576128394344.0 1225530 1000000 1225630 1000000
1516576128934077.0 1225570 1000000 1225630 1000000
1516576128934531.0 1225570 1000000 1225640 1000000
1516576128934560.0 1225530 1000000 1225640 1000000
1516576129392646.0 1225560 1000000 1225640 1000000
1516576129896871.0 1225570 1000000 1225640 1000000
1516576130257473.0 1225570 1000000 1225630 1000000
1516576130257508.0 1225530 1000000 1225630 1000000
1516576130378626.0 1225600 1000000 1225630 1000000
1516576136159255.0 1225550 300000 1225630 1000000
1516576136195250.0 1225530 1000000 1225630 1000000
1516576136234757.0 1225560 300000 1225630 1000000
1516576136270011.0 1225530 1000000 1225630 1000000
1516576136311347.0 1225560 300000 1225630 1000000
1516576136346857.0 1225530 1000000 1225630 1000000
1516576136866718.0 1225560 1000000 1225630 1000000
